term,definition
Nasdaq Composite,"The Nasdaq Composite index tracks the performance of about 3,000 stocks traded on the Nasdaq exchange. It's mainly used as an indicator of how well companies in the tech sector – both large and small – are doing."
NASDAQ Stock Exchange,"The NASDAQ Stock Exchange, located in New York City, is the world’s second-largest stock exchange in terms of market capitalisation."
NASDAQ Transportation Index,The NASDAQ Transportation Index is a capitalisation-weighted index created to measure the performance of all NASDAQ stocks in the transportation sector. The parent index of the NASDAQ Transportation Index is NASDAQ Composite Index.
National Association of Health Underwriters,A US professional association that represents the interests of those employed in the health insurance industry. They also have a lobbying role on issues relating to healthcare reform.
National best bid and offer,"Under a regulation by the US Securities and Exchange Commission, brokers have to execute customer trades at the best available ask price when buying securities, and at the best available bid price when selling them. This is known as National Best Bid and Offer (NBBO)."
National Credit Regulator,"It's an organisation responsible for the regulation of the South African credit industry. The NCR was established under the National Credit Act of 2005, and is charged with carrying out education, research, policy development, registration of participants, complaint investigation and enforcement of the Act."
National Futures Association,The self-regulatory organisation for the US derivatives industry. Membership of the National Futures Association (NFA) is mandatory for anyone operating in the futures market.
National market system plan,"A US system which governs the collection, processing and dissemination of data relating to securities transactions."
National Stock Exchange of India,"Known as the NSE for short, it’s the main stock market in India. Based in Mumbai, it offers trading in corporate bonds and derivatives as well as equities."
NEMAX 50,A discontinued index which represented the 50 largest companies listed on the Neuer Markt segment from 1999 to 2003.
Neon Swan,"A neon swan definition refers to a rare but highly predictable event of serious consequences. As opposed to a black swan event, a neon swan event typically follows a series of warning signs that lead up to it, and therefore, in theory, may be prevented."
Net Asset Value (NAV),It's a way to measure the value of a fund. It takes into account the number of shares outstanding in the fund and its liabilities. It's used particularly to measure the assets of a mutual fund or exchange-traded fund.
Net capital outflow,"It's the net flow of funds being invested abroad by a country over a certain period of time. When the net capital outflow (NCO) is positive, domestic residents are buying more foreign assets than foreigners are purchasing domestic assets."
Net credit sales,"A measurement of the sales a company makes to its customers on credit, minus the value of any returned items and allowances. Investors can use a firm's net credit sales when working out how much credit it's allowing its clients."
Net debt repayment,A measure of a company’s ability to repay all its debts simultaneously. It’s often used as an indicator of a company’s financial health.
Net income per employee,"A company’s net income divided by the number of employees. High values indicate an efficient use of the company’s resources, but valid comparisons can only be made between similar companies."
Net interest income,The difference between the income a bank earns from interest and the expenses (including interest payments) associated with its liabilities.
Net interest margin,The ratio of a company’s net interest income to the value of its invested assets. It’s used to measure the success of investment decisions.
Net interest spread,It's the difference between the average yield a financial institution gets from loans and other interest-accruing activities and the average rate it pays out on deposits. The net interest spread is an important indicator of a financial institution's profitability.
Net operating assets,A method of valuing a business based on its operating activities. It’s calculated by subtracting the company’s operating liabilities from its operating assets.
Net Operating Income (NOI),A profitability calculation based on a property’s revenue-generating ability. It reflects the income from a property after operating expenses have been deducted but before tax.
Net Profit,"Net profit is a company’s actual profit, once all expenses are taken away from its revenue. It is used as the ultimate measure of how profitable a business is. Since it appears at the very end of financial statements, it is also known as the bottom line."
Net value asset,"A measurement showing the value of a mutual fund's or closed-end fund's assets, once its liabilities have been subtracted. It's generally worked out on a per-share basis, meaning it shows the market value of a share within a fund."
Netherlands Film Fund,"The Netherlands Film Fund is, as the name suggests, as fund created to subsidise the production and creation of films in the Netherlands. The fund was founded in 1993 and is primarily funded by the Dutch Ministry of Education, Culture and Science."
Networking,Networking is defined as the exchange of information or ideas in a social setting among people who are engaged in a common profession or industry. Networking always begins with a shared interest point.
Neuroeconomics,"Neuroeconomics is the study of economic decision-making that combines the fields of neuroscience, economics and psychology."
New Energy to Reinvent and Diversify Fund,"The New Energy to Reinvent and Diversify Fund, more commonly known as the NERD fund, was a short-lived, secretive and controversial government expenses fund which ran in the State of Michigan from 2011 to 2013."
New York Stock Exchange (NYSE),"Looking for a New York Stock Exchange definition? Also known as the “Big Board” or the NYSE, the New York Stock Exchange is considered the world’s largest and most well-known equity market based on the total market capitalisation of its listed securities ($21.3 trillion as of June 2017). It is located on Wall Street in lower Manhattan, New York City."
NEXUS,"NEXUS is defined as a Trusted Traveller Program designed to expedite border clearance processes for entry into US and Canada for low-risk, pre-screened travellers."
Nifty 50 index,"No, it's not a list of the most eligible fiftysomethings! The Nifty 50 is the flagship index of the National Stock Exchange of India, it is a free float index and market capitalisation weighted. It’s made up of 50 of the largest and most actively traded stocks representing more than 20 industry sectors."
Nifty Fifty,"The term refers to the 50 popular large-cap stocks on the New York Stock Exchange in the 1960s and 1970s that were widely seen as solid buy-and-hold growth stocks. Most of them are still solid performers, but a few are now defunct or worthless."
Nikkei 225 index,"Usually just simply referred to as the Nikkei, this is the flagship stock market index of Japan. It tracks 225 top blue-chip companies listed on the Tokyo Stock Exchange from a range of industries."
No free lunch with vanishing risk,It is a mathematical concept based on arbitrage used in asset pricing and investment modelling. Arbitrage is the practice of taking advantage of price differentials between two or more markets.
No-par stock,"The term refers to shares of common stock that are issued with no-par (or face) value. This was once important, but nowadays it's very common for companies to issue capital stock with no-par value because the prices of stocks vary constantly."
Noddle (credit report service),"Noddle is a UK-based service offering credit reports for their customers. Unlike competitors such as Equifax and Experian, Noddle has always given customers the opportunity to view their full credit report for no charge, with the promise that they will never charge for their basic service."
Node,"In the cryptocurrency world a node is a computer, or group of computers working together, that supports a crypto network through the verification of transactions and maintenance of the blockchain, or the digital ledger."
Noisy market hypothesis,The noisy market hypothesis is a financial theory that argues that the true underlying value of a company is not always efficiently calculated by looking solely at the prices of its securities. This is in contrast to the more widely acknowledged efficient market hypothesis.
Nominal vs real GDP,"Real GDP and nominal GDP are two key measures of a country's economic performance, both derivatives of the gross domestic product (GDP). While real GDP accounts for inflation, nominal GDP reflects the current market prices. For traders, understanding the differences between these measures remains valuable, as it allows them to accurately assess a country's economic health and make informed trading decisions based on the true growth of the economy."
Nominal yield,"The interest or 'coupon' that an investor can expect to receive from a bond. The nominal yield is based on the original value of the bond, rather than its current market value. The interest rate is fixed and lasts for as long as the bond does."
Non-competition agreement,"This type of agreement seeks to prevent ex-employees from competing with a company for a certain amount of time after they've left the business. This can cover stopping someone from setting up a rival business - or even, in some cases, working for a rival business in a similar role."
Non-disclosure agreement (NDA),A non-disclosure agreement (NDA) is a contractual agreement to keep secrets secret. If an individual or business does not want confidential information shared they can ensure that other parties aware of that information sign an NDA.
Non-fungible token (NFT),"How do you define a NFT? Simply put, a non-fungible token (NFT) is a type of cryptocurrency that runs on a blockchain."
Non-operating income,"Non-operating income is a part of a company’s income that is not derived directly from its major business activity. It can include profits or losses from investments, sale of assets and property, currency exchange, asset write-downs or dividend income."
Non-performing Loan (NPL),"NPL or a non-performing loan is a bank loan, which will not be repaid by the borrower in full or is subject to late repayment. The Non-performing loans meaning presupposes that the borrower is in default and does not pay the monthly interest or principal repayments for a specified period."
Non-renounceable rights,"A non-renounceable rights issue is an offer issued by a company to stockholders to purchase more shares of the company at a discount. Unlike a renounceable rights issue, a non-renounceable rights issue cannot be sold or bought and is therefore non-transferable."
Non-solicitation agreement,Businesses use non-solicitation agreements to try to stop employees from poaching clients or suppliers when they leave the company. The enforceability of such agreements will depend on the legal jurisdiction in which they are drawn up and its attitude to curbing competitive activity by former employees.
Non-voting stock,It's stock that gives the shareholder little or no vote on corporate issues such as mergers or the election of the board of directors. This kind of share might appeal to investors who want to reap rewards from a company's performance but are less interested in influencing its direction.
NOPAT,Net operating profit after tax (more commonly known as NOPAT) is the calculation of a company’s profit if the costs and tax benefits of that company’s debts are not taken into account. This is often used as part of an economic value added (EVA) calculation.
Nora Nash,"Based in the US, Nora Nash is a nun and an activist shareholder. She is a Sister of St. Francis of Philadelphia – where she also holds the title of director of Corporate Responsibility – and she is also a member of the Interfaith Center on Corporate Responsibility."
Normalised earnings,"Normalised earnings show the company’s financial results without the effects of non-recurring charges or gains, which could result from unusual one-time events or seasonality."
Norwegian Banks' Guarantee Fund,The Norwegian Banks' Guarantee Fund covers deposit insurance in the European country of Norway. It was created to ensure that people depositing money into Norwegian banks would have a security if their bank lost their money or could not pay its debts.
Nouveau marché,It's a French equity market that was founded in 1996 to provide access to the financial markets for new start-ups with insufficient financing but high growth potential. Nouveau Marché (New Market) was intended to be a French equivalent to the US Nasdaq.
NTX index,"The NTX stands for the New Europe Blue Chip Index and is a free float weighted price index. It’s listed on the Vienna Stock Exchange and consists of the 30 largest companies in Central, Eastern and South-Eastern Europe in a range of sectors, including banking, oil and gas and telecommunications."
Numéraire,"Numéraire is an economic term referring to the standard to which value is computed. Numéraire is a French word, specifically translating to 'money', 'face value' or 'coinage' and ultimately, makes it possible to compare values and identify which goods are worth more/less than others."
Nuncupative Will,"Whether you have sizeable assets or a few thousand pounds in the bank, when you’ve passed away, you’ll want your legacy to be inherited by your rightful heirs. One of the most direct ways to plan your legacy and gifting is through drafting a will document."
NYMEX,"NYMEX stands for the New York Mercantile Exchange, a US-based futures market that specialises in physical commodities. Its NYMEX division allows for trading in energy, platinum and palladium, while its COMEX division focuses on gold, silver and copper markets."
NYSE Arca Major Market Index,The NYSE Arca Major Market Index is a price-weighted stock market index consisting of 20 Blue Chip industrial stocks of major US corporations. The index was established in 1983 with a base price and base value set at 200.00.
NYSE Arca Tech 100 Index,"Tracked since 1982 (when it was initiated by the Pacific Exchange), the NYSE Arca Tech 100 Index is a price-weighted index featuring common stocks and ADRs of technology-related companies currently listed on US stock exchanges."
NZX 50 Index,The NZX 50 Index is the main stock market index in New Zealand. The index was introduced in 2003 and comprises the 50 biggest stocks by free-float market capitalisation on the New Zealand Stock Market (NZSX).
US Tech 100 Volatility Index,The popularity of volatility indices like US Tech 100 Volatility Index is growing as investors look for instruments to hedge against unexpected losses.
OBX Index,The OBX Index is a stock market index listing the 25 most liquid companies on the main index of the Oslo Stock Exchange in Norway. The companies listed on the index are reviewed and rotated twice a year.
Odd lotter,It's an investor who buys shares or other securities in small or unusual quantities. Shares tend to be traded in multiples of 100 - known as a round lot. A small investor who purchases fewer than 100 is known as an odd lotter.
Office of Financial Research,"Established in 2010 by the Dodd-Frank Wall Street Reform and Consumer Protection Act, the Office of Financial Research (OFR) is an independent bureau within the United States Department of the Treasury. As of 2016, the bureau had 225 employees and a $99 million budget."
Ohlson o-score,It's a financial formula for predicting bankruptcy that was proposed by Dr James Ohlson of the New York University Stern Accounting Department in 1980. He suggested it as an alternative to the Altman Z-score for forecasting financial distress.
Omega ratio,"It's a risk-return performance measure of an investment asset, strategy or portfolio, that was devised in 2002 by Con Keating and William Shadwick. It's defined as the probability weighted ratio of gains versus losses for a given return target."
OMX Nordic Exchanges,"They comprise a stock exchange that covers the Nordic financial market. Stocks sold by companies in countries including Sweden, Finland and Denmark can be traded in one place. It’s one of the biggest exchanges in Europe."
OMX Nordic Mid Cap,"Short for NASDAQ OMX Nordic, OMX Nordic is a provider of financial services and marketplaces for securities in the Nordic and Baltic countries. The list structure of OMX Nordic is organised into three segments: large cap, mid cap and small cap."
OMX Stockholm PI (OMXSPI),"Formerly known as SAX All Share, OMX Stockholm PI (OMXSPI) is a stock market index of all shares that trade on the Stockholm Stock Exchange. The aim of the index is to reflect the current status and changes in the market."
OMX Vilnius,"Established in 1993, the OMX Vilnius is a stock market index operating on the NASDAQ OMX Vilnius Stock Exchange in Vilnius, Lithuania. The stock exchange is owned by the NASDAQ OMX Group, which also operates Helsinki Stock Exchange and Stockholm Stock Exchange."
OMXC20 index,The Copenhagen Stock Exchange is a member of the OMX Exchange group and the OMXC20 is the top-tier stock index of the Copenhagen Stock Exchange.
OMXS30 index,"The Stockholm Stock Exchange is a member of the OMX Exchange group and this stock index is attached to it. The OMX Stockholm 30, to give the index its full name, is made up of the exchange's 30 most-traded stocks. The index is market value weighted."
One-Time Charge,"Want to learn how to interpret companies’ financial results and identify poor accounting practice and real earning potential? Companies could misuse one-time charges, which may make their financial health appear better than the reality and mislead investors."
Onerous Contracts,Contracts are written or spoken agreements that are binding on the signing parties. They are carried out for some consideration or value to the parties involved.
Online Auction,"An online auction is an auction that takes place via the internet, allowing users to sell or bid for products and services online. Online auctions allow sellers to reach larger audiences, in different locations and geographical areas."
OPEC,The Organisation of Petroleum Exporting Countries (OPEC) is a cartel comprised of 13 oil-exporting countries. A cartel can be defined as a coalition of independent parties formed to promote a mutual interest through market control or price manipulation.
Open outcry system,"A traditional way of communicating information across the trading floor of a stock, commodity or futures contract exchange. Traders communicate verbally and use hand signals. For example, one trader might signal they're keen to sell at a particular price and another may respond that they're willing to do a deal."
Open Position,"What is the meaning of the term ‘open position’? In trading and investing, an open position is an active trade that’s yet to be closed. The position remains open until an opposing trade is made."
Open Technology Fund,"Often abbreviated to OTF, the Open Technology Fund is a US Government-funded program designed to support global internet freedom technology companies. Created in 2012 at Radio Free Asia, the fund has reviewed and responded to over 1,500 requests for support since its launch."
Operating Cash Flow (OCF),"Operating cash flow, or OCF, refers to the amount of cash generated by a company's general business operations. The figure refers to revenue that the company brings in and excludes any costs associated with long-term investment on capital items or securities."
Operating cash flow ratio,"The operating cash flow ratio, also known as a liquidity ratio, is an indicator which helps to determine whether a company is able to repay its current liabilities with cash flow, coming from its major business activities."
Operating cost,The operating cost definition refers to expenses associated with the maintenance and administration of a business on a daily basis.
Operating partner,An independent adviser hired by a private equity firm. These partners work with portfolio companies to improve their strategies and help them develop their operations. They tend to have wide experience of leading a business.
Operating profit,"What is operating profit? Operating profit is an accounting term that refers to a company’s income from revenue after the variable expenses of running the business are subtracted, and before fixed costs like interest and tax are deducted."
Operating ratio,"Operating ratio is the measurement of a company's operating expenses, calculated by comparing operating expenses to net sales. The ratio is expressed as a percentage, with smaller ratios demonstrating a greater ability for an organisation to generate profit should its revenue decrease."
Operational Risk,"Operational risk is the risk a company faces because of what its employees may or may not do, either deliberately or through human error. In other words, it relates to the risks resulting from failures in internal procedures, people and systems. It is different from financial risk and systematic risk and varies from industry to industry."
Opinion of Title,"A common legal term used in real estate, opinion of title is defined as a property’s title deed, the validity of which has been attested by an attorney."
Optimal capital structure,Corporate finance defines optimal capital structure as the best combination of equity and debt financing that helps to maximise a company’s market value and minimise its cost of capital.
Optimised indices,A type of market index tracked by an index-linked investment fund or an exchange-traded fund.
Option,"An option is a financial instrument giving the right, but not the obligation, to buy or sell an asset, such as a share or currency, for a predetermined price at a fixed future date. Options are a type of derivative."
Options arbitrage,Arbitrage is the practice of buying an asset and then selling it immediately to take advantage of a difference in price. Options arbitrage involves the simultaneous buying and selling of options either between exchanges or the same exchange.
Options broker,"Options broker is an occupation in finance that specialises in offering options trading, education, research and other tools to individual investors. Many option brokers also offer trading services in stocks, bonds, mutual funds and exchange traded funds (ETFs)."
Options Price Reporting Authority,"Often abbreviated to OPRA, the Options Price Reporting Authority is a committee of representatives that provides last sale information and current options quotations from participating stock exchanges. Quotes and information are provided through market data vendors."
Order,"Looking for an order definition? Ordering, whether goods, services, currencies or anything else, is central to the workings of a market economy. An order is an expression of one party’s wish to obtain whatever is specified in the order. In essence, therefore, an order is an instruction to a broker or brokerage firm to buy or sell. But the types of orders used in the investment world, finance orders, tend to be more complex, given that they are designed to perform an array of tasks."
Order Book,An order book is an electronic register of buy and sell orders for specific securities at all price levels. It's updated in real time and is an important indicator of market depth. The order book helps traders gauge the state of play at any one time.
Order matching system,"An order matching system is an electronic system that matches buy and sell orders for a security on a stock market, a commodity on a commodity market and any other electronically traded financial instruments."
Ordinary shares,"Ordinary shares are also know as equity shares, or as common stock in the US, and is a share that carries voting rights in the company concerned. These rights derive from the fact that an equity share represents part-ownership of the company."
Organisational economics,"Organisational economics is an area of economics that studies an individual company and its operations, transactions, policies, management decisions and organisational structure."
ORRF Risk Research Forum,"Established in 1999 as an independent think tank and organised by the ORRF, the ORRF Risk Research Forum is a forum on risk research, which aims to expand and develop the boundaries of knowledge in the field of risk."
Out of the money,"A term applied to an option which is yet to reach its strike price. Since an investor would make a loss if the option was exercised, they're said to be 'out of the money'. For example: an option has the strike price of £5, but the trade value is £3, the investor is considered to be 'out of the money' by £2 as they are making a loss."
Output,"Output is a measure of the production of goods and services, whether of a particular firm or industrial sector, of a nation as a whole or of the global economy. There are various methods of calculating output, and in general measurement becomes less precise the larger the entity whose output is being gauged."
Outstanding shares = shares outstanding,"Also known as 'shares outstanding', this term refers to the shares that are owned by a company's shareholders. They include those which are owned by institutional investors, as well as restricted shares owned by company officials. The details of outstanding shares are listed on a balance sheet as 'capital stock'."
Over-The-Counter (OTC),"Looking for a over-the-counter definition? Over-the-counter, also referred to as OTC and off exchange trading, is a particular type of security that isn't traded on a formal exchange, like the New York Stock Exchange or the NYSE MKT (formerly AMEX). The term over-the-counter can be used in reference to stocks that are traded by a dealer network instead of on one centralised exchange. OTC also refers to other financial instruments, such as derivatives (which are traded using a dealer network) or to debt securities."
Over/Under Trading,"In business, overtrading is when a company grows too quickly for its finances to support it, causing a loss of working capital and risking collapse."
Overextension,Overextension definition refers to a financial situation in which a consumer or a company have more debts or loans than they can pay.
Overnight,"Looking for an overnight definition? In the most simple terms, it is the buying and selling of currencies between 9.00pm and 8.00am local time. Overnight trading usually happens when an investor decides to take a position at the close of a trading day, in an overseas market that will remain open while the local market is closed. The trade is done at some point that evening or the following morning."
Overnight funding adjustment,Overnight funding adjustment is the interest payment that applies if one holds a trading position open overnight. The interest is based on the size of your exposure to the market and is calculated daily.
Overnight market,"It's the area of the money market with the shortest term loans, in which lenders make funds available only overnight, meaning the borrower has to repay the loan - plus interest - at the start of business the following day."
Overnight Rate,"The overnight rate definition refers to the interest rate at which banks lend and borrow money from each other in the overnight market. The main goal of such interbank activities is to maintain the reserve requirements of central banks. In addition, banks and other financial institutions may borrow money to meet short-term cash needs when, for instance, their customers plan to withdraw big cash in the coming days."
Own Risk and Solvency Assessment,"Often abbreviated to ORSA, Own Risk and Solvency Assessment is a set of internal processes aiding decision-making and strategic analysis. Own Risk and Solvency Assessments are driven by regulatory requirements, capturing best risk management practice conducted by companies."
Ownership dispersion,"It's where no single investor owns enough stock to control a company. With dispersed ownership, an entity has at least several owners/shareholders, and the running of the entity is delegated to the management team and a board of directors."
P (Fifth-Letter Identifier),"When used as the fifth letter in a ticker symbol, the letter P indicates it is a preferred stock."
P&L attribution,It's short for 'Profit and Loss Attribution' and it's a back-testing method for evaluating a bank's risk management models. It compares a bank's hypothetical profit and loss as predicted by that risk management model with the actual profit and loss incurred.
P/B ratio,It's shorthand for price-to-book ratio. Analysts use it to compare a stock's market value and its book value. P/B Ratio tells equity investors how much they're paying for each dollar in net assets.
Pakistani rupee,"The Pakistani rupee (PKR) – also known as rupaya or rupaye – is the official/national currency of Pakistan. It is the basic unit of money in the South Asian country, and is equivalent to 100 paise. The symbol of the Pakistani rupee is Rs or Rp."
Paper valuation,"Paper valuation describes how much a privately held share which cannot be traded at an exchange, is worth 'on paper'. It tells a buyer or investor how much the owner thinks their business is worth."
Paris Bourse,"It's the old name for Paris Stock Exchange, and it refers to the grand nineteenth century Brongniart palace located in the Place de la Bourse. It now refers to as Euronext Paris, part of the Europe-wide Euronext NV stock exchange."
Participating preferred stock,"It's a type of stock with certain privileges. When dividends are paid, non-participating shareholders come first, then participating preferred shareholders, then common shareholders. It's the same order of preference when a company is liquidated, except that debts must be paid before any shareholders benefit."
Partnership,"A partnership is a type of business formed by two or more individuals in which the ownership, liability, management, profit and loss are shared."
Partnership for New York City,"It's a non-profit members club for CEOs from New York City's top corporate and investment firms. It represents the city's business leadership and its largest private sector employers to government, usually to try and protect New York's status as a commercial powerhouse."
Passive Investing,Passive investing refers to an investment strategy with a minimal amount of trading.
Passive Order,"An order is passive when traders set a price that stock must reach before they go ahead with buying or selling. In contrast, aggressive orders are when a trader executes the order to buy or sell straightaway."
Paul Singer,"He's an American hedge fund manager, investor and philanthropist, who owns Elliot Management Corporation."
Payback Period,It's the length of time it'll take for an investment to recover its initial outlay.
Paydown,"A paydown reduces overall debt and can be implemented in several ways. For individuals, a paydown refers to gradually decreasing the underlying principal amount owed on loans by making monthly repayments. For corporations, a paydown could refer to issuing new corporate bonds worth less than the previous issue, thereby reducing the company’s debt load."
Payment for order flow,"Abbreviated to PFOF, it's the payment a broker gets for sending orders to be executed. The payment doesn't come from the broker's client, but the third party that the order goes to."
Payment schedule,"A payment schedule is the agreed timing of payments from one party to another. There is always a payment schedule agreed when an investor invests in stocks, bonds or derivatives. Payment schedule is either parameterised or customised."
Peer-to-Peer (P2P) Lending,"The internet has been a boon for many sectors, and undeniably it has facilitated the adoption of several alternative methods of financing. Websites and even mobile applications  are promoting social lending or crowdlending, and the existence of peer-to-peer (P2P) lending platforms is shifting interest from mainstream lending practices."
PEG Ratio,"A PEG ratio refers to the price/earnings to growth ratio - a valuation metric for determining the value of a stock, the earnings generated per share and the company's expected growth. It is considered to provide a more complete picture than the P/E ratio."
Penny Stocks,"A penny stock is any low-priced stock of smaller public companies with a low market capitalisation. In the US, the Securities and Exchange Commission has declared any stock valued at under $5 and not traded on a national exchange to be a penny stock. In the UK it includes anything under the value of £1, and traded on the general market."
Pension,"A pension is a fixed fund that is paid to an individual at regular intervals in consideration of past services, age, merit, injury, poverty or loss sustained etc. There are many types of pensions including employment-based pensions, state pensions and disability pensions."
Pension buyout,A pension buyout is a type of financial transfer allowing companies to completely wind up their pension schemes by paying a fixed amount to free themselves of any liabilities associated with the funds. The funds are transferred to the hands of an insurance group.
Pension Fund,"A pension fund is an investment product into which contributions are paid to build up a lump sum, which can either be cashed in or paid at regular intervals upon retirement. In addition, the government pays back income tax deducted from these contributions."
Percentage depletion,"Percentage depletion is a tax deduction placed in order to reflect the depletion of mineral resources, fossil fuels and other sources of non-renewable energy over time. It is only applicable to independent producers and royalty owners of the said non-renewable resources."
Performance attribution,"In finance, performance attribution refers to a set of techniques used to explain why a portfolio's performance differed from the benchmark. The difference in return between the portfolio and the benchmark is referred to as the active return."
Period of financial distress,"A period of financial distress takes place when a company is struggling to meet financial obligations, either due to the company, an asset or an index of a set of assets declining in price or crashing in value."
Perpetual option (XPO),"Perpetual options (XPO) are option contracts without an expiration date. Typically, a standard option contract gives its holder the right to purchase or sell a specific amount of an asset for a predetermined price, before or at an expiration date. The life of a standard option contract could range from days to years."
Pfandbrief,"A Pfandbrief is a type of bond issued by German mortgage banks that's collateralised by long-term assets (property mortgages or public sector loans, for example). After public sector bonds and unsecured bank debt, pfandbrief bonds make up the third largest segment of the German bond market."
PFTS index,"The PFTS Index is a benchmark index of PFTS Ukraine Stock Exchange, the leading bourse in Ukraine. Calculated since 1997, it is widely recognised and closely tracked by the international financial community."
Philadelphia Gold and Silver Index,The Philadelphia Gold and Silver Index is a stock market index containing thirty precious metal mining companies that trade on the Philadelphia Stock Exchange. It is one of the most watched gold indices on the market.
PHLX Semiconductor Sector,"The PHLX Semiconductor Sector is a Philadelphia Stock Exchange capitalised-weighted index. The companies listed on the index generally specialise in the sectors of the designing, distribution, manufacturing and sale of semiconductors."
Physics of financial markets,"Physics of financial markets refers to the study of financial markets from a physics perspective. This discipline should not be confused with quantitative finance or econophysics, which only seek to build financial instruments rather than seeking to understand them."
Piotroski F-Score,"A Piotroski F-Score is used to assess the strength of a firm's financial position and help financial investors locate the best-value stocks. The score can be any number between 0 and 9, with 9 considered to be the best."
Pip,"A pip is the smallest recorded fraction of a currency’s value. In most cases, a pip is equal to 0.0001, as values are given to the fourth decimal point. There are, however, exceptions, such as the Japanese yen (JPY), where a pip is recorded as being worth 0.01 JPY. Pips are used in foreign exchange trading. The word pip is an acronym, standing for price interest point or percentage in point."
Pledge fund,"A private equity investment where members provide investment on a deal-by-deal basis, with a certain investment goal. This allows them to be selective with the projects they invest in, which isn't necessarily the case with more traditional private equity funds."
Policy Mix,A policy mix refers to a combination of fiscal and monetary policies that a country implements to manage its economy.
Political arbitrage,Political arbitrage refers to trading activity that involves trading securities based on knowledge or estimates of future political activity. Political arbitrage can be country- or region-specific and is considered unethical since legal trading must be based on publicly available information.
Pool factor,The pool factor describes the remaining balance of principal debt left to be repaid on a pool of mortgages. It is expressed as a proportion of the total original sum that was lent.
Portfolio,"A financial portfolio is a collection of investments or financial assets held by an individual, investment company, financial institution or hedge fund."
Portfolio Diversification,"Looking for a portfolio diversification definition? As the name suggests, the basic definition of portfolio diversification is that it involves spreading investments across a broad selection of assets in order that losses in one part of the portfolio are offset by gains elsewhere."
Portfolio Entry,"The simplest way to define portfolio entry is as a list of all liabilities a reinsurer is liable for when entering into treaty reinsurance. A portfolio entry is used to account for unearned premiums from inactive policies during an accounting period, as well as unearned premiums that carry over into a future accounting period."
Portfolio Investment,"According to portfolio investment definition, it is a passive or a hands-off investment. With portfolio investment, an investor buys assets with the sole purpose of financial gain, without any involvement in the company’s internal decision making."
Portfolio Management,"Looking for a portfolio management definition? It’s the organisation of an investor’s financial assets to reduce risk and maximise return. This involves making calculated, informed decisions about investments and using trading strategies."
Portfolio margin,"Portfolio margin is the margin requirement on a portfolio of derivative products with the risk against which the margin level is set being calculated using the portfolio as a whole, rather than individual positions. This usually reduces the total amount of margin required."
Portfolios with Purpose,"Portfolios with Purpose is an organisation that promotes a 'fantasy' stock picking game that raises money for charity. The competition is held every year, with contestants assembling notional portfolios of shares. The best-performing portfolio wins the game."
Position,"You can take one of two positions when trading assets. If you think an asset’s value will go up, you’ll take a long position. If you think an asset’s value will go down, you’ll take a short position."
Position Trading,"Position trading is a trading style that's used over a long term. The investor holds on to a security or financial instrument for a period of months to years, in the belief that short-term fluctuations will even out in favour of long-term growth."
Post-earnings-announcement drift,"Post-earnings-announcement drift describes the tendency of stock prices to continue to behave as if investors were still anticipating corporate results, good or bad, despite the fact that the results have been published and are widely known."
Potential future exposure,Potential future exposure (PFE) is a measure of risk in relation to default by a counter-party to a financial transaction. It begins from the assumption that the transaction is proving beneficial to the party concerned and then calculates the potential loss should the counter-party default.
Power brokers,Power brokers are individuals who wield considerable influence over decisions of other parties. Power brokers lobby for a particular decision through their personal or professional connections.
Prague interbank offered rate (PRIBOR),The Prague interbank offered rate (PRIBOR) is the average interest rate at which lending takes place on the Czech Republic's interbank money market. Six banks provide data to enable a daily calculation.
PRBC,PRBC is an American consumer-credit reference agency. It allows individuals to enrol without charge and file their own data on payment of various bills to build up a positive credit file.
Pre-market,What does pre-market mean? Pre-market is the period before an exchange opens for the official trading day when investors can start to buy and sell assets.
Pre-tax profit figure,"The pre-tax profit figure shows a company’s profit after operating costs and interest on debts has been paid, but before taxes have been deducted."
Precautionary demand,"Precautionary demand describes the demand for financial assets to be held against an unforeseen event. This event can be relatively trivial, such as a professional person facing delays in collecting fees, or very serious, such as war or political upheaval."
Precious metals,"Precious metals include gold, silver, platinum, iridium and palladium. These metals are valuable because of their rarity, or because of their use in industrial processes, car manufacturing, technology (such as computers and phones) or as investments."
Preference Shares,"Preference shares, also known as preferred stock, are shares of a company’s stock that take precedence over common stock or ordinary shares."
Preferred dividends,Preferred dividends are the part of a company’s earnings that are paid to preferred stock or preference shareholders. These are prioritised over ordinary shareholders.
Prepayment of loan,"As the name suggests, it describes the early settlement of a loan obligation. This may come about for any number of reasons, from a windfall gain for the borrower to a refinancing of the loan at lower interest rates."
Prestige Bulletin,Prestige Bulletin is a financial journal published in South Africa and was founded in 1989. Its content covers a much broader range of subjects than the traditional investment magazine and it claims to be 'the only publication of its kind in the world'.
Price action trading,"Price action trading, as the name suggests, is a type of trading that relies upon reacting to price movements as they happen. The investor uses accumulated knowledge on past events to make an informed judgment on the likely path of the price of a particular security."
Price Ceiling,"Price ceilings are restrictions placed on how much a seller can charge for a product, commodity or service. They are used by governments to protect consumers from high costs and are especially implemented for essential items like fuel, rent, food and medicine."
Price Change,"Price change describes the difference in price of the same asset during a trading period. That period is usually a single day's trading, but price changes can be computed across months, years and other lengths of time."
Price discovery,"Price discovery is a term that describes the process whereby the current market price of any good, service or financial security is established. There is no price that is ""correct"" for all time, so price discovery is a continuous process."
